epoch,accuracy,loss,val_accuracy,val_loss
0,0.34880951046943665,1.1495018005371094,0.37142857909202576,1.1029566526412964
1,0.4154762029647827,1.0704423189163208,0.4000000059604645,1.0809118747711182
2,0.4535714387893677,1.0336079597473145,0.41904762387275696,1.0657366514205933
3,0.5154761672019958,0.9958343505859375,0.4761904776096344,1.0248382091522217
4,0.5214285850524902,0.9764358997344971,0.4809523820877075,1.0171788930892944
5,0.5309523940086365,0.9597642421722412,0.4809523820877075,1.0495922565460205
6,0.5202381014823914,0.9608297348022461,0.4523809552192688,1.035322904586792
7,0.5690476298332214,0.9140682220458984,0.48571428656578064,1.0373588800430298
8,0.5654761791229248,0.902660608291626,0.49047619104385376,1.0323368310928345
9,0.5964285731315613,0.872848391532898,0.4761904776096344,1.0213123559951782
